unit,cycle,actual_rul,predicted_rul,prediction_error,absolute_error,risk_band_key,risk_band
1,31,112.0,174.02111904761895,-62.02111904761895,62.02111904761895,3,LOWER PRIORITY
2,49,98.0,153.74400264550266,-55.74400264550266,55.74400264550266,3,LOWER PRIORITY
3,126,69.0,55.51728439153439,13.482715608465611,13.482715608465611,2,MONITOR
4,106,82.0,76.14129509379507,5.858704906204935,5.858704906204935,3,LOWER PRIORITY
5,98,91.0,103.07129629629628,-12.071296296296282,12.071296296296282,3,LOWER PRIORITY
6,105,93.0,93.06546296296295,-0.06546296296295395,0.06546296296295395,3,LOWER PRIORITY
7,160,91.0,113.6904060846561,-22.690406084656104,22.690406084656104,3,LOWER PRIORITY
8,166,95.0,70.07815079365079,24.921849206349208,24.921849206349208,3,LOWER PRIORITY
9,55,111.0,145.1220568783069,-34.12205687830689,34.12205687830689,3,LOWER PRIORITY
10,192,96.0,118.63642724867726,-22.636427248677265,22.636427248677265,3,LOWER PRIORITY
11,83,97.0,72.74069432419435,24.25930567580565,24.25930567580565,3,LOWER PRIORITY
12,217,124.0,94.85634920634922,29.143650793650778,29.143650793650778,3,LOWER PRIORITY
13,195,95.0,94.13639550264556,0.8636044973544443,0.8636044973544443,3,LOWER PRIORITY
14,46,107.0,153.26096428571427,-46.260964285714266,46.260964285714266,3,LOWER PRIORITY
15,76,83.0,165.73651190476198,-82.73651190476198,82.73651190476198,3,LOWER PRIORITY
16,113,84.0,103.85672751322753,-19.856727513227526,19.856727513227526,3,LOWER PRIORITY
17,165,50.0,53.098054232804245,-3.0980542328042446,3.0980542328042446,2,MONITOR
18,133,28.0,58.85814814814816,-30.85814814814816,30.85814814814816,2,MONITOR
19,135,87.0,113.57518386243382,-26.575183862433818,26.575183862433818,3,LOWER PRIORITY
20,184,16.0,22.959468253968257,-6.959468253968257,6.959468253968257,1,PRIORITY REVIEW
21,148,57.0,65.04533333333335,-8.045333333333346,8.045333333333346,3,LOWER PRIORITY
22,39,111.0,170.15889417989413,-59.15889417989413,59.15889417989413,3,LOWER PRIORITY
23,130,113.0,151.70666666666668,-38.70666666666668,38.70666666666668,3,LOWER PRIORITY
24,186,20.0,20.240055555555557,-0.24005555555555702,0.24005555555555702,1,PRIORITY REVIEW
25,48,145.0,149.50267436267438,-4.502674362674384,4.502674362674384,3,LOWER PRIORITY
26,76,119.0,125.63911916786921,-6.639119167869211,6.639119167869211,3,LOWER PRIORITY
27,140,66.0,110.86702380952379,-44.867023809523786,44.867023809523786,3,LOWER PRIORITY
28,158,97.0,88.41255423280424,8.58744576719576,8.58744576719576,3,LOWER PRIORITY
29,171,90.0,103.04256746031746,-13.042567460317457,13.042567460317457,3,LOWER PRIORITY
30,143,115.0,72.15640476190477,42.84359523809523,42.84359523809523,3,LOWER PRIORITY
31,196,8.0,22.521202380952378,-14.521202380952378,14.521202380952378,1,PRIORITY REVIEW
32,145,48.0,46.93015476190477,1.0698452380952332,1.0698452380952332,2,MONITOR
33,50,106.0,132.76196825396823,-26.761968253968234,26.761968253968234,3,LOWER PRIORITY
34,203,7.0,6.657952380952377,0.34204761904762293,0.34204761904762293,1,PRIORITY REVIEW
35,198,11.0,7.570345238095242,3.429654761904758,3.429654761904758,1,PRIORITY REVIEW
36,126,19.0,23.87685185185185,-4.87685185185185,4.87685185185185,1,PRIORITY REVIEW
37,121,21.0,49.34512566137567,-28.34512566137567,28.34512566137567,2,MONITOR
38,125,50.0,47.72176984126985,2.278230158730153,2.278230158730153,2,MONITOR
39,37,142.0,158.14901322751314,-16.149013227513137,16.149013227513137,3,LOWER PRIORITY
40,133,28.0,27.861255291005303,0.1387447089946967,0.1387447089946967,1,PRIORITY REVIEW
