importance_rank,feature,importance
1,cycle,0.5543903867612494
2,sensor_11,0.15397391324208146
3,sensor_9,0.04137883869813305
4,sensor_12,0.028962761167386917
5,sensor_4,0.02677190952371977
6,sensor_14,0.024918341304303638
7,sensor_7,0.0223687239825514
8,sensor_15,0.021512950663164606
9,sensor_21,0.019341112067147035
10,sensor_3,0.017886999488828957
11,sensor_2,0.01775047358968401
12,op_setting_1,0.014943364744536612
13,sensor_20,0.014182177416265658
14,sensor_8,0.013653266444988559
15,sensor_13,0.012957700223097755
16,op_setting_2,0.009279029041987701
17,sensor_17,0.005337396570630342
18,sensor_6,0.0003906550702430964
